sim_time,phase,error_shoulder_joint,error_upperArm_joint,error_foreArm_joint,error_wrist1_joint,error_wrist2_joint,error_wrist3_joint,q_shoulder_joint,q_upperArm_joint,q_foreArm_joint,q_wrist1_joint,q_wrist2_joint,q_wrist3_joint,v_shoulder_joint,v_upperArm_joint,v_foreArm_joint,v_wrist1_joint,v_wrist2_joint,v_wrist3_joint,reference_shoulder_joint,reference_upperArm_joint,reference_foreArm_joint,reference_wrist1_joint,reference_wrist2_joint,reference_wrist3_joint,command_effort_shoulder_joint,command_effort_upperArm_joint,command_effort_foreArm_joint,command_effort_wrist1_joint,command_effort_wrist2_joint,command_effort_wrist3_joint
31.17,B：搬运至 P3 上方 · 执行,-2.432447428069029e-05,-5.3064281752557285e-06,3.475847781087005e-05,-2.8823928295312884e-05,9.2825097544047e-06,-0.0011193030032883855,0.5279944331412781,0.13598684649685552,1.6495475770485577,-0.06079078400393098,1.5708316278799987,0.4542583112833587,-1.5040676367936288,0.38249706118407056,0.27877307479174923,-0.08192381703288773,0.0003479650038157479,-1.3431183389915047,0.5279701086669975,0.13598154006868027,1.6495823355263686,-0.060819607932226294,1.5708409103897532,0.4531390082800703,-1.3247935826586397,11.090555295490626,-12.027449229437082,2.1516541579162753,-0.1425909016818959,-0.03169724914851131
31.18,B：搬运至 P3 上方 · 执行,-2.680908023666717e-05,-6.3238953244837415e-06,3.597868303573115e-05,-3.053418545122949e-05,6.380981453224521e-06,-0.0011191643308391952,0.512734060604377,0.13981176549160704,1.6523352084506484,-0.06161000800318163,1.5708354875956572,0.4408270592224593,-1.544012420295952,0.38249267296567174,0.27876482416932874,-0.08190764995865572,0.0004024168980902021,-1.3431202125892352,0.5127072515241403,0.13980544159628255,1.6523711871336841,-0.06164054218863286,1.5708418685771104,0.4397078948916201,-1.3109023909440096,11.045396496697474,-12.018966901630549,2.141536820681325,-0.13544191563460853,-0.031963621666706805
31.19,B：搬运至 P3 上方 · 执行,-2.9773321948201037e-05,-7.25837260567852e-06,3.724084171152775e-05,-3.236328347676343e-05,3.1502566364416396e-06,-0.001119014374545757,0.49707416770323143,0.1436366014964905,1.6551227978992884,-0.06242911316156266,1.5708396765078312,0.4273957958777158,-1.583970764482737,0.3824812625350582,0.27876392033612585,-0.08189892324240831,0.000417640734999509,-1.3431205379045488,0.4970443943812832,0.1436293431238848,1.655160038741,-0.062461476445039424,1.5708428267644676,0.42627678150317005,-1.2972900500643334,11.000670064131066,-12.010394201971772,2.1312093671479784,-0.12821098288833668,-0.032233371552740635
31.2,B：搬运至 P3 上方 · 执行,-3.3070462087503305e-05,-8.04484223651536e-06,3.847389923228306e-05,-3.424126875457845e-05,-2.9893344022369206e-08,-0.0011188716102636387,0.4810146064618403,0.1474612897849609,1.657910416661486,-0.06324816949521565,1.5708438148452426,0.4139645387020379,-1.6239447304413808,0.3824639419951043,0.2787698728769721,-0.0818971339710132,0.00039673573075006414,-1.3431192555152818,0.4809815359997528,0.14745324494272438,1.6579488905607183,-0.06328241076397023,1.5708437849518986,0.4128456670917743,-1.2838552653090167,10.95637978749186,-12.00177197087536,2.120691451798875,-0.12086631487090232,-0.032506814318334624
31.21,B：搬运至 P3 上方 · 执行,-3.60868610808085e-05,-8.665756771109034e-06,3.9590380613852005e-05,-3.608281695460791e-05,-2.6369259040759374e-06,-0.0011188766180241227,0.46455870450585307,0.15128581193586046,1.6606981515750174,-0.06406726214089792,1.5708473800650868,0.40053343134429364,-1.6629011018820092,0.3824520506015158,0.27878833036634293,-0.08190835481719244,0.0002884675089602239,-1.3430831388563969,0.46452261764477226,0.15127714617908936,1.6607377419556313,-0.06410334495785253,1.5708447431391828,0.3994145547262695,-1.1630765894562314,10.872094964889888,-12.001942977026207,2.120504242497534,-0.09235335461782725,-0.03316223688420748
31.22,B：搬运至 P3 上方 · 执行,-3.8635283825139144e-05,-9.27980244294635e-06,4.0441366176757754e-05,-3.7605234623955264e-05,-3.339995164663989e-06,-0.0011192317717393374,0.44772879256596004,0.1551103275091346,1.6634861521967703,-0.06488667397963513,1.5708490413217047,0.38710267310955865,-1.6990114493250823,0.38245847159186164,0.2788184973977112,-0.08195886370084733,4.6468745349210984e-05,-1.3430699511961557,0.4476901572821349,0.15510104770669164,1.663526593562947,-0.06492427921425908,1.57084570132654,0.3859834413378193,-1.038519638533845,10.783467128734651,-12.003384831799107,2.121677688816065,-0.06287666221992193,-0.03382236511972236
31.23,B：搬运至 P3 上方 · 执行,-4.120798223772315e-05,-9.948537748688535e-06,4.101856260585457e-05,-3.8481961131153763e-05,-1.479066983112176e-06,-0.0011194486696098904,0.4305533633539915,0.15893489777204253,1.6662744266076568,-0.06570673150953452,1.5708481385808806,0.37367177661897916,-1.7322929225504407,0.38246189637541333,0.2788431010124902,-0.08203208665894535,-0.00020571991702828302,-1.3430950844253597,0.4305121553717538,0.15892494923429384,1.6663154451702626,-0.06574521347066567,1.5708466595138975,0.37255232794936927,-0.9161612518853208,10.693089772641777,-12.005451523409766,2.1236237878691404,-0.03365055841857147,-0.0344498348627363
31.24,B：搬运至 P3 上方 · 执行,-4.392331327562893e-05,-1.0599182748871616e-05,4.1380999971529775e-05,-3.8624183232083276e-05,2.5267674865769862e-06,-0.00111949610117823,0.4130605352269048,0.16275944994464497,1.6690629157776051,-0.06652752354384006,1.570845090933768,0.3602407106620973,-1.7627747389807322,0.38245521220720197,0.27886239116628936,-0.08210210378514513,-0.0003797671006547512,-1.343102269450471,0.41301661191362915,0.1627488507618961,1.6691042967775767,-0.06656614772707214,1.5708476177012545,0.35912121456091906,-0.795746030301703,10.60102600040034,-12.008141140047998,2.1263597086939527,-0.0047859324109256465,-0.03504967233658296
31.25,B：搬运至 P3 上方 · 执行,-4.670901457809462e-05,-1.1131710381473425e-05,4.1557684887116864e-05,-3.8164540152790805e-05,7.64752202520036e-06,-0.0011195478121397429,0.3952782359223385,0.16658388399987986,1.6718515907000069,-0.06734891744332597,1.5708409283665872,0.34680964898460853,-1.7904667733920043,0.38243952943337717,0.27888082820597804,-0.08215278626818785,-0.00043793090657955915,-1.343098471990843,0.3952315269077604,0.1665727522894984,1.671893148384894,-0.06738708198347876,1.5708485758886124,0.3456901011724688,-0.6771166290273736,10.507268632650893,-12.011496826450285,2.129883816700927,0.023576856661380537,-0.03562553215507161
31.26,B：搬运至 P3 上方 · 执行,-4.9469436501858866e-05,-1.1475855925507927e-05,4.154428713865066e-05,-3.731902012343857e-05,1.2724703288169437e-05,-0.0011196265771917235,0.3772343697906499,0.17040812967302618,1.6746404557050711,-0.06817069721976188,1.5708368093726817,0.33337861436121036,-1.8153651305924663,0.38241967338585187,0.2789008162475411,-0.08218330401229432,-0.0003861598017149069,-1.3430975605542603,0.37718490035414803,0.17039665381710067,1.6746819999922098,-0.06820801623988532,1.5708495340759698,0.33225898778401863,-0.5605429342386025,10.411429478371456,-12.015660645756402,2.1343313696099044,0.05121717143879481,-0.03617133799501156
